locality,provisional_ballots,absentee_ballots,in_person_ballots,in_person_curbside_ballots,TotalVoteTurnout,ActiveRegisteredVoters,InactiveRegisteredVoters,TotalRegisteredVoters,year,region
HALIFAX COUNTY,8,3257,8827,23,12092,24214,811,25025,2022,southside
HAMPTON CITY,119,13134,27227,377,40480,90954,9828,100782,2022,hampton_roads
HANOVER COUNTY,101,14513,37070,1115,51684,86437,2535,88972,2022,central
HARRISONBURG CITY,18,3981,6086,20,10085,23707,2509,26216,2022,valley
HENRICO COUNTY,114,36983,87467,656,124564,229846,11013,240859,2022,central
HENRY COUNTY,50,3704,11710,111,15464,35069,1336,36405,2022,southside
HIGHLAND COUNTY,0,255,933,3,1188,1823,74,1897,2022,valley
HOPEWELL CITY,45,1807,3439,66,5291,14685,1076,15761,2022,central
ISLE OF WIGHT COUNTY,43,5621,12853,87,18517,29725,1232,30957,2022,hampton_roads
JAMES CITY COUNTY,78,16707,20799,675,37584,60831,3190,64021,2022,hampton_roads
KING AND QUEEN COUNTY,0,692,2229,54,2921,5213,165,5378,2022,eastern
KING GEORGE COUNTY,11,4363,6104,141,10478,18451,1205,19656,2022,northern
KING WILLIAM COUNTY,6,1575,5942,70,7523,13485,435,13920,2022,central
LANCASTER COUNTY,7,384,3415,28,3806,8927,306,9233,2022,eastern
LEE COUNTY,0,1037,4709,9,5746,15039,574,15613,2022,southwest
LEXINGTON CITY,1,1026,972,40,1999,3811,382,4193,2022,valley
LOUDOUN COUNTY,609,51320,110097,0,162026,275022,16302,291324,2022,northern
LOUISA COUNTY,34,5293,10896,167,16223,28464,918,29382,2022,central
LUNENBURG COUNTY,0,1284,2816,25,4100,7810,273,8083,2022,southside
LYNCHBURG CITY,48,7218,15900,188,23166,49558,6404,55962,2022,west_central
MADISON COUNTY,0,1787,4655,38,6442,10045,323,10368,2022,central
MANASSAS CITY,46,4173,6416,28,10635,22015,1648,23663,2022,northern
MANASSAS PARK CITY,0,1216,2082,10,3298,8212,724,8936,2022,northern
MARTINSVILLE CITY,1,1083,2657,75,3741,8539,519,9058,2022,southside
MATHEWS COUNTY,0,2381,2021,31,4402,7082,279,7361,2022,hampton_roads
MECKLENBURG COUNTY,16,2947,8162,899,11125,22117,827,22944,2022,southside
MIDDLESEX COUNTY,4,1490,3620,71,5114,8444,264,8708,2022,eastern
MONTGOMERY COUNTY,59,7643,19633,144,27335,56707,4726,61433,2022,west_central
NELSON COUNTY,79,2072,4962,33,7113,11494,385,11879,2022,central
NEW KENT COUNTY,4,2386,8578,28,10968,18348,531,18879,2022,central
NEWPORT NEWS CITY,154,13175,36305,334,49634,113723,11234,124957,2022,hampton_roads
NORFOLK CITY,324,15525,38327,725,54176,128420,12655,141075,2022,hampton_roads
NORTHAMPTON COUNTY,10,2275,3113,34,5398,9271,562,9833,2022,eastern
NORTHUMBERLAND COUNTY,1,2208,3961,68,6170,10043,371,10414,2022,eastern
NORTON CITY,2,359,579,22,940,2464,129,2593,2022,southwest
NOTTOWAY COUNTY,0,1404,3400,52,4804,9343,343,9686,2022,southside
ORANGE COUNTY,18,4302,11740,353,16060,27166,1120,28286,2022,central
PAGE COUNTY,11,2000,6229,98,8240,16595,517,17112,2022,valley
PATRICK COUNTY,1,1242,4698,5,5941,12500,330,12830,2022,southside
PETERSBURG CITY,28,3060,4488,172,7576,21964,1759,23723,2022,central
PITTSYLVANIA COUNTY,0,4080,19792,190,23872,43740,1458,45198,2022,southside
POQUOSON CITY,0,1957,3587,60,5544,9197,400,9597,2022,hampton_roads
PORTSMOUTH CITY,159,7524,19577,741,27260,63621,4882,68503,2022,hampton_roads
POWHATAN COUNTY,9,4579,10289,3913,14877,23540,645,24185,2022,central
PRINCE EDWARD COUNTY,1,1672,4678,111,6351,12910,620,13530,2022,southside
PRINCE GEORGE COUNTY,10,3306,7870,73,11186,22707,2115,24822,2022,central
PRINCE WILLIAM COUNTY,992,55129,94787,556,150908,297902,20674,318576,2022,northern
PULASKI COUNTY,22,3098,7730,43,10850,23066,703,23769,2022,west_central
RADFORD CITY,0,1282,2470,10,3752,8553,972,9525,2022,west_central
RAPPAHANNOCK COUNTY,7,1175,2876,0,4058,6021,199,6220,2022,northern
RICHMOND CITY,593,17140,50490,406,68223,145587,15679,161266,2022,central
RICHMOND COUNTY,0,917,1863,0,2780,5454,185,5639,2022,eastern
ROANOKE CITY,58,9089,17430,1168,26577,61649,4383,66029,2022,west_central
ROANOKE COUNTY,78,10605,26624,460,37307,69579,3640,73219,2022,west_central
ROCKBRIDGE COUNTY,6,2498,6523,26,9027,15667,513,16180,2022,valley
ROCKINGHAM COUNTY,20,6492,24953,357,31465,54633,1918,56551,2022,valley
RUSSELL COUNTY,1,1645,6203,52,7849,18661,514,19175,2022,southwest
SALEM CITY,12,3384,4962,0,8358,16899,984,17883,2022,west_central
SCOTT COUNTY,9,1379,5154,80,6542,15570,440,16010,2022,southwest
SHENANDOAH COUNTY,22,4328,11857,146,16207,30914,1280,32194,2022,valley
SMYTH COUNTY,6,1257,7191,14,8454,19534,585,20119,2022,southwest
SOUTHAMPTON COUNTY,5,1867,5537,14,7409,13736,508,14244,2022,southside
SPOTSYLVANIA COUNTY,4,19959,34552,984,54515,99808,5189,104997,2022,northern
STAFFORD COUNTY,125,16736,40281,393,57142,103642,7298,110940,2022,northern
STAUNTON CITY,20,3414,5744,0,9178,17113,1010,18123,2022,valley
SUFFOLK CITY,0,11520,24987,0,36507,66832,4271,71103,2022,hampton_roads
SURRY COUNTY,0,1134,2181,37,3315,5474,196,5670,2022,hampton_roads
SUSSEX COUNTY,6,858,2565,34,3429,6877,251,7128,2022,southside
TAZEWELL COUNTY,7,3377,8180,153,11564,25844,2230,28074,2022,southwest
VIRGINIA BEACH CITY,449,55609,105665,6506,161723,304917,25310,330226,2022,hampton_roads
WARREN COUNTY,19,3797,10377,164,14193,28864,1493,30357,2022,northern
WASHINGTON COUNTY,20,5201,12731,133,17952,37933,1318,39251,2022,southwest
WAYNESBORO CITY,27,2567,4554,0,7148,14522,935,15457,2022,valley
WESTMORELAND COUNTY,13,2113,4890,58,7016,13547,589,14136,2022,eastern
WILLIAMSBURG CITY,0,2451,2293,104,4744,8897,1305,10202,2022,hampton_roads
WINCHESTER CITY,16,2856,5005,139,7877,16726,1549,18275,2022,valley
WISE COUNTY,13,2332,6972,23,9317,23766,892,24658,2022,southwest
WYTHE COUNTY,8,2287,7184,12,9479,20233,637,20870,2022,southwest
YORK COUNTY,32,12033,15654,367,27719,47676,2947,50623,2022,hampton_roads
