locality,provisional_ballots,absentee_ballots,in_person_ballots,in_person_curbside_ballots,TotalVoteTurnout,ActiveRegisteredVoters,InactiveRegisteredVoters,TotalRegisteredVoters,year,region
STAUNTON CITY,48,0,10033,0,10081,14784,1603,16387,2016,valley
SUFFOLK CITY,68,5526,37814,0,43408,83127,9174,92301,2016,hampton_roads
SURRY COUNTY,8,522,3484,53,4014,5175,340,5515,2016,hampton_roads
SUSSEX COUNTY,9,381,4699,0,5089,6464,687,7151,2016,southside
TAZEWELL COUNTY,15,1742,17048,105,18805,26098,2281,28379,2016,southwest
VIRGINIA BEACH CITY,268,30050,173966,1734,204284,273581,35901,309477,2016,hampton_roads
WARREN COUNTY,58,1698,16290,144,18046,23514,1863,25377,2016,northern
WASHINGTON COUNTY,24,2750,23226,88,26000,33942,3069,37011,2016,southwest
WAYNESBORO CITY,6,0,8511,0,8517,11932,1230,13162,2016,valley
WESTMORELAND COUNTY,0,0,7472,21,7472,11273,823,12096,2016,eastern
WILLIAMSBURG CITY,4,0,6684,45,6688,9224,2742,11966,2016,hampton_roads
WINCHESTER CITY,28,0,9424,61,9452,14234,1708,15942,2016,valley
WISE COUNTY,3,1332,13920,74,15255,21525,2494,24015,2016,southwest
WYTHE COUNTY,15,0,12485,0,12500,17770,1406,19176,2016,southwest
YORK COUNTY,124,3657,30549,328,34330,55295,6152,61447,2016,hampton_roads
ACCOMACK COUNTY,14,4565,8751,130,13330,24141,1221,25362,2022,eastern
ALBEMARLE COUNTY,228,5750,32053,182,38031,80699,5168,85867,2022,central
ALEXANDRIA CITY,245,20483,32691,72,53419,98565,13417,111982,2022,northern
ALLEGHANY COUNTY,0,799,4607,19,5406,10402,647,11049,2022,valley
AMELIA COUNTY,3,1713,3846,12,5562,9858,283,10141,2022,central
AMHERST COUNTY,0,2926,8912,120,11838,21963,840,22803,2022,west_central
APPOMATTOX COUNTY,0,1686,4887,96,6573,11800,371,12171,2022,west_central
ARLINGTON COUNTY,383,33203,56388,120,89974,157782,18155,175936,2022,northern
AUGUSTA COUNTY,21,7986,22444,257,30451,53084,1657,54741,2022,valley
BATH COUNTY,2,323,1368,0,1693,3216,136,3352,2022,valley
BEDFORD COUNTY,142,8089,25362,222,33593,62284,2292,64576,2022,west_central
BLAND COUNTY,0,464,1762,9,2226,4336,250,4586,2022,southwest
BOTETOURT COUNTY,8,3955,10709,115,14672,25574,668,26242,2022,west_central
BRISTOL CITY,6,1368,3048,29,4422,11024,1276,12300,2022,southwest
BRUNSWICK COUNTY,0,1564,3693,113,5257,10730,324,11054,2022,southside
BUCHANAN COUNTY,2,869,3871,24,4742,14329,508,14837,2022,southwest
BUCKINGHAM COUNTY,4,1673,3654,82,5331,10720,341,11061,2022,southside
BUENA VISTA CITY,0,548,1064,0,1612,4078,341,4419,2022,valley
CAMPBELL COUNTY,25,4583,15379,104,19987,39290,1815,41105,2022,west_central
CAROLINE COUNTY,4,2961,8621,96,11586,21860,897,22757,2022,central
CARROLL COUNTY,0,2152,8002,79,10154,20498,573,21071,2022,southwest
CHARLES CITY COUNTY,10,1087,1735,52,2832,5578,151,5729,2022,central
CHARLOTTE COUNTY,10,1105,3131,29,4246,8163,281,8444,2022,southside
CHARLOTTESVILLE CITY,8,5997,9837,77,15842,30843,3205,34048,2022,central
CHESAPEAKE CITY,258,34252,54178,1316,88688,167564,12431,179995,2022,hampton_roads
CHESTERFIELD COUNTY,349,51814,87440,0,139603,262390,14612,277002,2022,central
CLARKE COUNTY,6,2238,4905,82,7149,11676,533,12209,2022,northern
COLONIAL HEIGHTS CITY,5,2129,3514,112,5648,12312,685,12997,2022,central
COVINGTON CITY,0,240,1247,0,1487,3704,176,3880,2022,valley
CRAIG COUNTY,0,460,1603,22,2063,3828,132,3960,2022,west_central
CULPEPER COUNTY,40,5974,14077,85,20091,35274,1544,36818,2022,northern
CUMBERLAND COUNTY,0,1005,2736,0,3741,7165,222,7387,2022,southside
DANVILLE CITY,18,3608,8218,90,11844,26998,1739,28737,2022,southside
DICKENSON COUNTY,6,1025,2860,21,3891,9672,461,10133,2022,southwest
DINWIDDIE COUNTY,10,2636,6852,29,9498,19939,822,20761,2022,central
EMPORIA CITY,0,354,1059,4,1413,3784,234,4018,2022,southside
ESSEX COUNTY,6,1519,2687,110,4212,7980,282,8262,2022,eastern
FAIRFAX CITY,33,4074,5560,39,9667,16454,1201,17655,2022,northern
FAIRFAX COUNTY,2645,140282,261012,3061,403939,742649,45477,788070,2022,northern
FALLS CHURCH CITY,30,3026,3290,29,6346,10242,872,11114,2022,northern
FAUQUIER COUNTY,68,11915,21031,0,33014,53080,3047,56127,2022,northern
FLOYD COUNTY,5,1982,4231,166,6218,11437,399,11836,2022,west_central
FLUVANNA COUNTY,11,5639,6097,49,11747,20175,728,20903,2022,central
FRANKLIN CITY,7,1133,1771,71,2911,5603,302,5905,2022,southside
FRANKLIN COUNTY,8,4785,15678,150,20471,38679,1252,39931,2022,west_central
FREDERICK COUNTY,49,7645,25822,80,33516,64147,3402,67549,2022,valley
FREDERICKSBURG CITY,45,3553,5491,71,9089,17751,1572,19323,2022,northern
GALAX CITY,2,524,1074,35,1600,3827,228,4055,2022,southwest
GILES COUNTY,1,1721,4046,42,5768,11671,389,12060,2022,west_central
GLOUCESTER COUNTY,12,4113,11296,159,15421,28998,1141,30139,2022,hampton_roads
GOOCHLAND COUNTY,18,5262,8403,39,13683,20613,705,21318,2022,central
GRAYSON COUNTY,0,322,5070,38,5392,10575,346,10921,2022,southwest
GREENE COUNTY,13,3391,4978,32,8382,14352,481,14833,2022,central
GREENSVILLE COUNTY,0,740,2182,16,2922,6186,234,6420,2022,southside
