RespID,ppl_like_you,President,Congress,Supreme_Court,CDC,Election_officials,Intelligence,Media,Police,USPS,age,education,race,gender,income_cat,voter_cat
470146,2.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,77,College,Black,Female,$125k or more,sporadic
470147,2.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,1.0,1.0,63,College,White,Female,$40-75k,always
470148,3.0,4.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,63,Some college,White,Male,$75-125k,always
470149,2.0,1.0,2.0,2.0,2.0,3.0,3.0,3.0,1.0,2.0,82,High school or less,White,Female,$125k or more,always
470151,3.0,2.0,2.0,2.0,1.0,2.0,1.0,3.0,1.0,2.0,69,College,Hispanic,Female,$40-75k,always
470152,3.0,2.0,3.0,2.0,1.0,2.0,2.0,4.0,1.0,1.0,49,College,White,Male,$75-125k,always
470154,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,76,Some college,Black,Female,$75-125k,always
470158,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,57,Some college,White,Female,$125k or more,always
470159,2.0,2.0,3.0,2.0,2.0,3.0,3.0,4.0,1.0,1.0,57,College,White,Male,$125k or more,sporadic
470160,3.0,2.0,3.0,2.0,2.0,2.0,2.0,4.0,1.0,2.0,41,College,White,Female,$125k or more,sporadic
470162,2.0,1.0,4.0,3.0,3.0,3.0,1.0,4.0,1.0,4.0,78,College,White,Female,Less than $40k,sporadic
470163,3.0,4.0,3.0,3.0,2.0,2.0,2.0,2.0,1.0,2.0,72,College,White,Male,$75-125k,rarely/never
470164,4.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,1.0,2.0,77,High school or less,White,Female,$75-125k,always
470165,2.0,4.0,3.0,2.0,1.0,3.0,3.0,2.0,2.0,1.0,46,College,Hispanic,Male,$75-125k,sporadic
470167,2.0,4.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,73,College,White,Male,Less than $40k,always
470168,2.0,2.0,3.0,3.0,2.0,2.0,2.0,3.0,1.0,2.0,60,High school or less,White,Male,$40-75k,sporadic
470169,2.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0,1.0,1.0,89,Some college,White,Female,$40-75k,always
480183,4.0,4.0,4.0,4.0,1.0,4.0,4.0,4.0,3.0,2.0,29,Some college,Black,Male,Less than $40k,rarely/never
470172,2.0,2.0,3.0,2.0,2.0,1.0,3.0,4.0,1.0,4.0,64,Some college,White,Male,$125k or more,always
470174,4.0,4.0,3.0,2.0,2.0,3.0,3.0,2.0,3.0,2.0,63,Some college,White,Female,$75-125k,rarely/never
470175,,,,,,,,,,,60,High school or less,Black,Female,Less than $40k,rarely/never
470177,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,26,College,White,Male,$75-125k,always
470179,3.0,3.0,3.0,2.0,2.0,3.0,3.0,4.0,2.0,2.0,25,College,White,Male,$40-75k,always
470180,3.0,4.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,3.0,79,High school or less,White,Female,$75-125k,sporadic
470181,4.0,4.0,3.0,3.0,1.0,3.0,2.0,2.0,2.0,1.0,74,College,Black,Female,$75-125k,sporadic
470182,3.0,1.0,3.0,2.0,2.0,3.0,3.0,4.0,1.0,2.0,73,College,White,Female,$75-125k,always
470183,2.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0,1.0,2.0,60,College,White,Male,$125k or more,always
